owl,year,month,day,neuron,order,itdild_file_name,abl_file_name,freq_file_name,itd_file_name,ild_file_name,frozenitd_file_name,frozenild_file_name
844,2006,3,17,2,0.0,844-2006-03-17-02-0-itdiid.mat,,,,,,
844,2006,3,17,3,3.0,844-2006-03-17-03-3-itdiid.mat,844-2006-03-17-03-2-abiabi.mat,,,,,
847,2005,10,4,1,3.0,847-2005-10-04-01-3-itdiid.mat,847-2005-10-04-01-2-abiabi.mat,847-2005-10-04-01-7-bf.mat,,,,
847,2005,10,4,2,11.0,847-2005-10-04-02-11-itdiid.mat,847-2005-10-04-02-10-abiabi.mat,847-2005-10-04-02-14-bf.mat,,,,
847,2005,10,4,3,18.0,847-2005-10-04-03-18-itdiid.mat,847-2005-10-04-03-16-abiabi.mat,847-2005-10-04-03-21-bf.mat,,,,
847,2006,5,23,3,3.0,847-2006-05-23-03-3-itdiid.mat,847-2006-05-23-03-2-abiabi.mat,847-2006-05-23-03-4-bf.mat,,,,
847,2006,5,23,5,2.0,847-2006-05-23-05-2-itdiid.mat,847-2006-05-23-05-1-abiabi.mat,847-2006-05-23-05-3-bf.mat,,,,
847,2006,5,23,6,3.0,847-2006-05-23-06-3-itdiid.mat,847-2006-05-23-06-2-abiabi.mat,847-2006-05-23-06-4-bf.mat,,,,
847,2006,6,1,2,0.0,847-2006-06-01-02-0-itdiid.mat,847-2006-06-01-02-2-abiabi.mat,847-2006-06-01-02-1-bf.mat,,,,
847,2006,6,1,7,0.0,847-2006-06-01-07-0-itdiid.mat,847-2006-06-01-07-3-abiabi.mat,847-2006-06-01-07-2-bf.mat,,,,
847,2006,6,1,9,0.0,847-2006-06-01-09-0-itdiid.mat,,847-2006-06-01-09-1-bf.mat,,,,
858,2005,9,21,4,11.0,858-2005-09-21-04-11-itdiid.mat,858-2005-09-21-04-9-abiabi.mat,858-2005-09-21-04-12-bf.mat,,,,
858,2005,10,13,1,5.0,858-2005-10-13-01-5-itdiid.mat,858-2005-10-13-01-3-abiabi.mat,858-2005-10-13-01-2-bf.mat,,,,
858,2005,10,13,4,3.0,858-2005-10-13-04-3-itdiid.mat,858-2005-10-13-04-2-abiabi.mat,858-2005-10-13-04-6-bf.mat,,,,
858,2005,10,13,5,3.0,858-2005-10-13-05-3-itdiid.mat,858-2005-10-13-05-2-abiabi.mat,858-2005-10-13-05-5-bf.mat,,,,
858,2005,10,13,6,3.0,858-2005-10-13-06-3-itdiid.mat,858-2005-10-13-06-2-abiabi.mat,858-2005-10-13-06-4-bf.mat,,,,
858,2005,11,4,3,3.0,858-2005-11-04-03-3-itdiid.mat,,,,,,
